station_name,latitude,longitude,total_bikes,station,distance,review_count,rating,popularity,price
Sanguinet / de Maisonneuve,45.51340553558378,-73.56259435415267,31,60,630.9674796747968,189.85185185185185,8.244634146341463,0.9697916666666666,1.7154471544715446
Jean Langlois / Fullum,45.526499983000186,-73.54575277422555,31,61,673.5696202531645,14.058823529411764,7.689113924050633,0.7866935483870967,1.4936708860759493
City Councillors / du President-Kennedy,45.50625103256782,-73.57139065861702,31,62,588.4427480916031,285.2972972972973,8.14847328244275,0.9757553191489362,1.7557251908396947
Guy / Sainte-Catherine,45.49497512853125,-73.57777043248461,31,63,431.71942446043164,254.95238095238096,8.04726618705036,0.9729381443298969,1.8273381294964028
Boyer / Rosemont,45.53409866804061,-73.59553456306458,31,64,715.6548672566372,59.77272727272727,8.132389380530974,0.9190989010989011,1.592920353982301
Métro Bonaventure (de la Gauchetière / de la Cathédrale),45.49831217703312,-73.56725603342056,31,65,651.8880597014926,432.5128205128205,8.387462686567165,0.9741894736842105,1.9179104477611941
Metcalfe / du Square-Dorchester,45.499898909703695,-73.57048809528351,31,66,452.38759689922483,302.3157894736842,8.224496124031008,0.9766043956043956,1.8372093023255813
Clark / Prince-Arthur,45.513342512307055,-73.57301607728004,31,67,565.3529411764706,229.4857142857143,8.020441176470587,0.9695742574257425,1.7794117647058822
Richardson / Montmorency,45.484966061164755,-73.56032252311707,31,68,675.6120689655172,55.84848484848485,8.009310344827586,0.9092771084337349,1.8103448275862069
Marché Atwater,45.48020822800015,-73.57759863138199,31,69,393.30555555555554,182.5483870967742,8.017129629629629,0.905051948051948,1.7037037037037037
St-Dominique / de Bellechasse,45.52952466565309,-73.60488876700401,31,70,652.6350364963504,136.75757575757575,8.36116788321168,0.93825,1.7518248175182483
Ellendale / de la Côte-des-Neiges,45.49966955063677,-73.62923383712769,31,71,457.91346153846155,46.407407407407405,7.531923076923077,0.8671688311688313,1.4711538461538463
St-Dominique / St-Viateur,45.52655700191558,-73.5982757806778,30,72,518.2595419847328,142.51724137931035,8.379312977099238,0.9387745098039215,1.549618320610687
Augustin-Cantin / Shearer,45.48390169543355,-73.56363236904144,30,73,639.6666666666666,121.60606060606061,8.12825,0.9371379310344826,1.9
McGill / Wellington,45.499447710650415,-73.55489909648894,30,74,441.90977443609023,403.37142857142857,8.474135338345864,0.9578673469387755,2.0150375939849625
St-Dominique / St-Zotique,45.53226461018495,-73.6110632121563,30,75,500.6617647058824,86.59375,8.382352941176471,0.9394423076923076,1.6470588235294117
