station_name,latitude,longitude,total_bikes,station,distance,review_count,rating,price
Parc Benny (Benny / de Monkland),45.46693565237702,-73.63153114914894,22,290,675.3913043478261,40.08695652173913,8.339130434782609,1.7391304347826086
Valois / Ste-Catherine,45.54522973039872,-73.53725016117096,22,291,597.0689655172414,30.724137931034484,8.1,1.8620689655172413
Métro Laurier (Berri / Laurier),45.52809995527671,-73.58843871625139,22,292,558.8333333333334,161.29166666666666,8.45625,2.0416666666666665
Terminus Le Carrefour (Terry-Fox / Le Carrefour),45.56842034638607,-73.74687284231186,22,293,670.2162162162163,45.810810810810814,7.07945945945946,2.27027027027027
Nicolet / Sherbrooke,45.54969542033443,-73.55464696884155,22,294,691.7083333333334,34.916666666666664,8.172916666666667,2.0833333333333335
Molson / Beaubien,45.54968589617967,-73.59115451574326,22,295,332.06451612903226,27.225806451612904,8.587096774193547,1.935483870967742
Guizot / St-Denis,45.543423548290185,-73.63246187567711,22,296,483.83870967741933,31.774193548387096,8.586774193548386,1.903225806451613
Drolet / Beaubien,45.533348,-73.605834,22,297,372.9024390243902,77.21951219512195,8.494146341463416,2.1707317073170733
de Brébeuf / du Mont-Royal,45.52927839879717,-73.57792854309082,22,298,440.37142857142857,301.8,8.26657142857143,2.1142857142857143
Fullum / Terrasse Mercure,45.535541603465234,-73.56593906879425,22,299,613.8636363636364,50.72727272727273,8.51909090909091,1.9545454545454546
Cartier / Bélanger,45.546779039476185,-73.60281676054001,22,300,630.4642857142857,30.178571428571427,8.596428571428572,1.8214285714285714
St-Hubert / de Maisonneuve (nord),45.51613214980722,-73.56049686670303,22,301,422.94117647058823,196.44117647058823,8.148823529411764,2.1470588235294117
des Récollets / McGill,45.5008764952487,-73.55900555849075,22,302,204.38235294117646,371.8529411764706,8.481176470588236,2.6470588235294117
de Rouen / Lespérance,45.538859462962286,-73.5528177022934,22,303,675.2857142857143,23.071428571428573,8.11357142857143,2.0357142857142856
Henri-Julien / de Castelnau,45.53789110878484,-73.6182153224945,22,304,377.86842105263156,78.05263157894737,8.37342105263158,2.026315789473684
Lucien L'Allier / St-Jacques,45.493514106710734,-73.56848180294037,22,305,734.4827586206897,370.55172413793105,8.217586206896552,2.2758620689655173
Vallières / St-Laurent,45.518967223320054,-73.5836161673069,22,306,370.6363636363636,313.06060606060606,8.502121212121212,2.0303030303030303
Gauthier / Papineau,45.52966629503036,-73.56733649969101,22,307,886.0,241.1851851851852,8.252222222222223,2.074074074074074
Métro Côte-Ste-Catherine (Beaucourt / de la Côte-Ste-Catherine),45.491513,-73.633649,22,308,565.04,42.92,8.0196,1.88
Messier / du Mont-Royal,45.53711414,-73.5710031,22,309,515.4375,49.9375,8.6671875,2.0625
Graham / Brookfield,45.52022241072457,-73.62985610961914,22,310,647.0588235294117,47.0,7.418235294117647,1.9411764705882353
St-Dominique / Laurier,45.52361490311454,-73.59245739877223,22,311,297.36,180.16,8.382800000000001,2.2
Marché Jean-Talon (Henri-Julien / Jean-Talon),45.53678525128436,-73.6148879583925,22,312,296.56410256410254,82.28205128205128,8.415897435897437,2.0256410256410255
de l'Hôtel-de-Ville / Villeneuve,45.52348082760688,-73.58732756238169,22,313,550.1515151515151,309.7878787878788,8.469090909090909,1.9090909090909092
16e avenue / St-Joseph,45.55293611277267,-73.56577143073082,22,314,752.68,28.32,7.7056000000000004,1.76
Henri-Julien / Laurier,45.52574657625029,-73.59033644199371,22,315,597.2173913043479,199.69565217391303,8.53608695652174,1.9565217391304348
Hochelaga / de l'Assomption,45.566883091095185,-73.53943817317486,22,316,764.8666666666667,13.333333333333334,5.8,2.0
Liébert / Hochelaga,45.59587457490178,-73.52352797985077,22,317,663.8947368421053,5.631578947368421,6.92157894736842,1.9473684210526316
HEC (Decelles / Jean-Brillant),45.49772282989976,-73.61925333738327,22,318,367.22857142857146,47.857142857142854,8.232571428571427,1.9428571428571428
Marmier / St-Denis,45.530757980151904,-73.59845817089081,22,319,711.939393939394,139.21212121212122,8.400606060606062,2.121212121212121
15e avenue / Masson,45.55389801568004,-73.5713866353035,22,320,542.6451612903226,23.258064516129032,7.822903225806452,1.7096774193548387
Graham / Kindersley,45.514080696641386,-73.64694982767105,22,321,391.0,8.88888888888889,6.875555555555556,2.0
Pierre-Péladeau / du Centropolis,45.56251175219665,-73.74370649456978,21,322,245.45,39.375,7.074250000000001,2.25
Wellington / Gordon,45.46109386344247,-73.56704950332642,21,323,369.25,34.375,8.4915625,1.875
Marcil / Sherbrooke,45.471743,-73.613924,21,324,396.62068965517244,50.827586206896555,8.21793103448276,1.896551724137931
De Callières / d'Auvergne,45.59342197869864,-73.6690217256546,21,325,374.1111111111111,4.0,6.082962962962963,1.9259259259259258
Métro Snowdon (de Westbury / Queen-Mary),45.48542414888848,-73.62816195935011,21,326,223.56666666666666,19.166666666666668,7.751333333333334,2.1
Workman / Vinet,45.483788863965174,-73.5750612616539,21,327,378.25,190.21875,8.1034375,2.28125
de la Montagne / Notre-Dame,45.492913379064625,-73.5646878182888,21,328,734.5882352941177,268.3529411764706,8.08235294117647,2.7058823529411766
Métro Assomption (Chauveau / de l'Assomption),45.569789,-73.548081,21,329,643.0,9.954545454545455,6.983181818181818,1.9545454545454546
St-Sylvestre / St-Charles,45.53638893500808,-73.51245582103729,21,330,169.41379310344828,12.310344827586206,7.517586206896552,2.1379310344827585
des Ormeaux / Notre-Dame,45.59926552299961,-73.51226069033146,21,331,656.7826086956521,4.869565217391305,6.772173913043478,1.9565217391304348
Laurier / St-Denis,45.52714838624861,-73.58947947621346,21,332,543.6363636363636,176.0,8.417727272727273,2.0
Parc Olympique (Pie-IX / Sherbrooke),45.554824549823,-73.55370283126831,21,333,435.2307692307692,70.38461538461539,7.4907692307692315,1.9230769230769231
Crescent / de Maisonneuve,45.49812041247333,-73.57759594917297,21,334,240.71794871794873,291.53846153846155,8.097435897435897,2.3076923076923075
des Pins / St-Laurent,45.51522812881499,-73.5750961303711,21,335,421.5833333333333,401.0,8.283611111111112,2.2777777777777777
Marquette / du Mont-Royal,45.53221791147474,-73.57543140649796,21,336,464.26666666666665,231.63333333333333,8.54,2.1
Chabanel / Tolhurst,45.540105018786974,-73.65347027778625,21,337,627.9545454545455,17.0,8.10909090909091,1.7727272727272727
