station_name,latitude,longitude,total_bikes,station,distance,rating,popularity,price
Parc St-Sacrement (des Seigneurs / St-Sacrement),45.70234934325735,-73.63957804443088,18,536,634.4545454545455,6.753846153846154,0.986848484848485,1.1923076923076923
Parc Maisonneuve (Viau / Sherbrooke),45.56493679334249,-73.5555911064148,18,537,711.3846153846154,6.609090909090909,0.9081538461538462,1.5
Quai de la navette fluviale,45.51366626207095,-73.53842496871948,18,538,752.8,6.6,0.8852,1.6666666666666667
des Récollets / Martial,45.59089190991344,-73.64061713218689,18,540,721.4736842105264,6.14,0.9433157894736841,1.2
de Bordeaux / St-Zotique,45.546534315701145,-73.59866335988045,18,541,708.8269230769231,7.727586206896552,0.9261923076923076,1.62
de Bellechasse / de Lanaudière,45.539306918976,-73.59521873295307,18,542,686.953125,8.095238095238095,0.942265625,1.5806451612903225
des Érables / Rachel,45.533313304815366,-73.56671154499054,18,543,778.5833333333334,7.772222222222222,0.9389166666666666,1.4375
des Érables / Dandurand,45.541331760976774,-73.58387768268585,18,544,707.9310344827586,7.58,0.9356724137931034,1.5
Frontenac / Ste-Catherine,45.53006276144042,-73.54559183120728,18,545,739.4,6.783333333333333,0.9564,1.1578947368421053
des Écores / Beaubien,45.547536449579944,-73.59267264604568,18,546,585.5128205128206,7.9,0.9272564102564101,1.7894736842105263
de Gaspé / St-Viateur,45.527672646696104,-73.59738260507582,18,547,633.9705882352941,8.379411764705884,0.937686274509804,1.434782608695652
Parc Joseph-Robin (18e avenue / Everett),45.56481129244175,-73.59580412507057,18,548,778.6428571428571,6.533333333333333,0.9567857142857142,1.2962962962962963
St-Antoine / de la Montagne,45.495369835210354,-73.56859177350998,18,549,684.1686746987951,8.036144578313253,0.9756987951807229,1.691358024691358
Ste-Catherine / Dezery,45.53938508196168,-73.54099988937377,18,550,757.939393939394,7.352380952380953,0.9408484848484848,1.4827586206896552
Drolet / Jarry,45.54195463236575,-73.62994194030762,18,551,536.0227272727273,7.699999999999999,0.9335227272727273,1.6341463414634145
Waverly / St-Zotique,45.53050525974957,-73.61470833420753,18,552,611.34,8.270212765957446,0.9407599999999999,1.6585365853658536
de Bordeaux / Gilford,45.53611005443118,-73.5762870311737,18,553,634.820895522388,7.9423076923076925,0.932179104477612,1.4696969696969697
d'Outremont / Ogilvy,45.52687028194893,-73.62672328948975,18,554,624.6279069767442,7.660606060606061,0.9445348837209303,1.5384615384615385
20e avenue / de Bellechasse,45.559962552180544,-73.5769522190094,18,555,744.0,6.754545454545454,0.9236538461538462,1.3333333333333333
Waverly / St-Viateur,45.5238561444472,-73.60012650489807,18,556,497.5339805825243,8.329126213592232,0.9358349514563107,1.4845360824742269
Théâtre du Vieux-Terrebonne (St-Pierre / des Braves),45.69223305604548,-73.63703128697125,17,557,186.5609756097561,7.633333333333334,0.9858292682926828,1.7647058823529411
Émile-Journault / de Chateaubriand,45.54983321292286,-73.64063255488873,17,558,645.3,6.871428571428572,0.9279999999999999,1.2777777777777777
Aréna Chaumont (Chaumont / des Ormeaux),45.610926628992026,-73.54673445224762,17,559,413.125,7.6,0.95,1.875
des Jockeys / Décarie,45.49404432109336,-73.65449488162994,17,560,356.40909090909093,7.062068965517242,0.9492272727272727,1.5675675675675675
Métro du Collège (Cartier / Décarie),45.50843904979172,-73.6729645729065,17,561,687.8888888888889,6.663636363636363,0.9367777777777777,1.3
LaSalle / 37e avenue,45.416294661505354,-73.6129005253315,17,562,631.5,6.699999999999999,0.941,1.0
Parc Henri-Dunant (Léger / Henri-Dunant),45.56843961893042,-73.6752020941276,17,563,901.0,6.6,0.9693333333333333,1.0
Parc Lacharité (Latour / Forget),45.41773748108526,-73.62338548639853,17,564,343.0,6.699999999999999,0.934,1.1428571428571428
Métro Jean-Talon (Berri / Jean-Talon),45.53900036432657,-73.6142510175705,17,565,594.3061224489796,8.381443298969073,0.9406530612244898,1.5714285714285714
Parc d'Antioche (Place d'Antioche / St-Zotique),45.59566584124368,-73.5596626996994,17,566,678.4666666666667,6.466666666666666,0.9420666666666667,1.3414634146341464
Parc Wilfrid-Bastien (Lacordaire / des Galets),45.5864002,-73.5952181,17,567,592.55,6.800000000000001,0.9180999999999999,1.3157894736842106
de l'Hôtel-de-Ville / Viger,45.509556992257025,-73.55740696191788,17,568,622.1585365853658,8.576829268292682,0.9689268292682927,1.7464788732394365
Fullum / Ste-Catherine,45.52711644190572,-73.54801654815674,17,569,716.575,6.939285714285715,0.92745,1.6666666666666667
Fabrik8 (Waverly / Jean-Talon),45.53330725719417,-73.62082242965698,17,570,614.4315789473684,8.263440860215054,0.9385894736842105,1.5925925925925926
Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),45.49487159597493,-73.57112377882004,17,571,617.4166666666666,8.148809523809524,0.9743214285714286,1.819277108433735
Chapleau / du Mont-Royal,45.53867,-73.56936,17,572,712.75,7.354285714285713,0.9345,1.4090909090909092
Basile-Routhier / Chabanel,45.549846830745,-73.64767402410507,17,573,772.7222222222222,6.561538461538461,0.9381666666666667,1.1176470588235294
Maguire / Henri-Julien,45.527041096087785,-73.59347056655677,17,574,682.3055555555555,8.474074074074075,0.9360925925925926,1.4509803921568627
McLynn / Plamondon,45.48911308766352,-73.6470128595829,17,575,792.5526315789474,6.844444444444445,0.9641578947368421,1.40625
de la Côte St-Antoine / Royal,45.468926984877434,-73.6198702454567,17,576,611.3962264150944,7.300000000000001,0.9420943396226414,1.2553191489361701
Hôpital Pierre-Boucher (Jacques-Cartier / Bourdon),45.53653210295224,-73.4576690196991,17,577,681.8695652173913,6.4399999999999995,0.9193913043478261,1.1764705882352942
Le Corbusier / St-Martin O,45.565006717407506,-73.7319054454565,17,579,542.3947368421053,6.482857142857143,0.9354210526315789,1.5142857142857142
de Lanaudière / Marie-Anne,45.52932643090091,-73.57480645179749,17,580,639.6428571428571,8.242857142857142,0.9338367346938776,1.4787234042553192
Jogues / Allard,45.450020323797766,-73.60030621290207,17,581,667.3928571428571,6.961111111111111,0.9351071428571428,1.16
CHSLD Joseph-François-Perrault (St-Michel / Everett),45.55969734528566,-73.60145956277847,17,583,625.9230769230769,6.777777777777778,0.9587692307692308,1.4
de Maisonneuve / Greene,45.48697062,-73.58929306,17,584,503.969696969697,6.828571428571429,0.9572121212121213,1.2666666666666666
Calixa-Lavallée / Sherbrooke,45.52479,-73.56545,17,585,828.2637362637363,8.05,0.9432197802197803,1.813953488372093
6e Avenue / Bélanger,45.554582815249745,-73.59631910920143,17,586,719.3529411764706,7.6375,0.9323823529411764,1.4848484848484849
Messier / St-Joseph,45.53946063965585,-73.57605636119843,17,587,744.4237288135594,7.724444444444445,0.9325762711864406,1.5087719298245614
McNamara / St-Martin O,45.57120355585774,-73.72351884841918,16,588,520.65625,6.430434782608696,0.9096875,1.6666666666666667
Boyer / Everett,45.54310243053054,-73.61607524188003,16,589,711.4054054054054,8.282456140350877,0.9391621621621622,1.4328358208955223
Fullum / Gilford,45.53922374455291,-73.57383679656778,16,590,767.234375,7.731914893617021,0.93315625,1.4833333333333334
Omer-Lavallée / du Midway,45.5457759528664,-73.56217458844185,16,591,691.8125,6.823529411764706,0.9294375,1.1666666666666667
Louis-Hémon / Jean-Talon,45.5517742671765,-73.60347837231528,16,592,665.6756756756756,7.6000000000000005,0.927027027027027,1.542857142857143
